created_time,id,description
2019-03-07T16:54:34+0000,834100560293045_787574564945645,
2019-02-05T13:50:03+0000,834100560293045_770928409943594,
2019-02-05T12:42:21+0000,834100560293045_770897193280049,
2019-02-02T15:32:13+0000,834100560293045_769106250125810,
2019-01-20T21:11:12+0000,834100560293045_761787764190992,"We post some 🔥 content on Instagram. Go follow us:
Instagram.com/officialuniversaltroll"
2019-01-20T21:03:21+0000,834100560293045_761785280857907,
2019-01-14T21:14:19+0000,834100560293045_758305771205858,Uber & Tinder should join forces & deliver that booty straight to your door
2019-01-09T09:13:27+0000,834100560293045_754947854874983,
2019-01-07T10:08:57+0000,834100560293045_753808108322291,https://www.instagram.com/booksididnt 👀
2019-01-05T10:30:42+0000,834100560293045_752659828437119,
2019-01-03T08:09:35+0000,834100560293045_751455741890861,
2019-01-03T08:06:37+0000,834100560293045_751454708557631,
2018-12-30T20:46:49+0000,834100560293045_749287268774375,"From celebrating the OG Lord Shiva to bringing in 420, here’s a desi guide on where to trip in 2019."
2018-12-08T08:11:25+0000,834100560293045_735584583477977,Break your mother's back!
2018-12-01T09:19:58+0000,834100560293045_731279430575159,
2018-11-30T14:25:08+0000,834100560293045_730854133951022,
2018-09-10T01:27:58+0000,834100560293045_688774871492282,
2018-08-08T17:20:21+0000,834100560293045_663921263977643,
2018-08-03T07:43:17+0000,834100560293045_658226494547120,
2018-07-25T09:55:41+0000,834100560293045_649246262111810,"#MEMEWALA

AAH KI MISHTI"
2018-07-22T23:21:17+0000,834100560293045_646754389027664,"Foreign liquor bottles worth Rs 40 lakhs crushed in Hyderabad

😁😪"
2018-07-22T23:05:52+0000,834100560293045_646745415695228,
2018-07-22T23:00:32+0000,834100560293045_646742112362225,Someone got a Monkey high AF 💨
2018-07-20T12:27:35+0000,834100560293045_644229935946776,
2018-07-05T20:44:16+0000,834100560293045_630709690632134,Please ;_;
2018-07-05T12:34:34+0000,834100560293045_630356457334124,"Dank posts only being posted here, do follow.🔥
Instagram.com/tdtaless"
2018-07-02T20:01:13+0000,834100560293045_627849027584867,"WHEN U CAN'T SLEEP 🙃

**epilepsy warning**"
2018-06-27T17:26:05+0000,834100560293045_623133441389759,
2018-06-26T19:37:53+0000,834100560293045_622308994805537,"Loooooooong loooooooong maaaaaaaaan~

By UHA味覚糖　【公式】"
2018-06-24T15:16:41+0000,834100560293045_620258465010590,
2018-06-23T12:52:47+0000,834100560293045_619148105121626,
2018-06-10T17:59:33+0000,834100560293045_609068382796265,
2018-06-10T16:57:52+0000,834100560293045_609046552798448,"I need money, not a relationship."
2018-06-01T14:24:51+0000,834100560293045_604714723231631,Now that's cold
2018-05-29T10:17:35+0000,834100560293045_603283613374742,
2018-05-20T03:03:49+0000,834100560293045_599318930437877,
2018-05-13T23:51:51+0000,834100560293045_596881290681641,
2018-05-13T23:42:40+0000,834100560293045_596879294015174,
2018-05-10T18:44:56+0000,834100560293045_595441287492308,"If you have the patience, you gonna love this."
2018-05-08T14:37:16+0000,834100560293045_594509734252130,
2018-04-19T19:28:29+0000,834100560293045_586232891746481,
2018-04-19T19:17:20+0000,834100560293045_586229585080145,
2018-04-18T22:02:50+0000,834100560293045_585832261786544,Modern times.
2018-04-18T21:59:08+0000,834100560293045_585831568453280,Accurate.
2018-04-17T18:14:57+0000,834100560293045_585304185172685,Gold.
2018-04-10T13:06:46+0000,834100560293045_582142908822146,
2018-04-09T11:34:12+0000,834100560293045_581658278870609,
2018-04-08T07:39:32+0000,834100560293045_581137042256066,Peace
2018-04-08T07:27:40+0000,834100560293045_581134075589696,
2018-04-07T21:46:55+0000,834100560293045_580967835606320,OC
2018-04-06T11:49:39+0000,834100560293045_580265789009858,dat ass
2018-04-03T08:27:28+0000,834100560293045_578809275822176,not u
2018-04-01T23:53:21+0000,834100560293045_578254992544271,Boi o boi
2018-04-01T13:20:58+0000,834100560293045_578067092563061,🍑
2018-03-31T19:26:59+0000,834100560293045_577710462598724,
2018-03-25T18:51:22+0000,834100560293045_575068212862949,-sky空
2018-03-24T11:22:32+0000,834100560293045_574432126259891,
2018-03-21T07:10:16+0000,834100560293045_572926853077085,What problems do Bengali men face?
2018-03-18T06:11:37+0000,834100560293045_571590336544070,
2018-03-16T10:20:18+0000,834100560293045_570763556626748,"THIS GAVE ME SHIVERS 😰

WorldProblems"
2018-03-15T06:08:27+0000,834100560293045_570237130012724,"Katega, beta Katega!"
2018-03-13T12:43:39+0000,834100560293045_569502783419492,"Every time a mass shooting happens, the world gets into a really weird mood. I hope this helps 💙

Please share to spread the message."
2018-03-12T16:17:49+0000,834100560293045_569111676791936,"If you're having a bad day, look at this happy puppet

📹reothegolden | IG"
2018-03-12T16:14:24+0000,834100560293045_569110846792019,Ceremony by TAS
2018-03-09T15:26:36+0000,834100560293045_567740300262407,Necessary education.
2018-03-05T12:11:44+0000,834100560293045_565819500454487,"This picture is too relatable and that concerns me. 
https://9gag.com/gag/aOrBxBR/sc/funny?ref=fbsc"
2018-03-03T18:33:29+0000,834100560293045_565057023864068,
2018-03-01T11:22:29+0000,834100560293045_563989917304112,liek if u crie
2018-02-21T04:46:42+0000,834100560293045_560188527684251,
2018-02-18T16:07:26+0000,834100560293045_559073504462420,Tom was the man
2018-02-15T16:04:05+0000,834100560293045_557618921274545,Attention to all the Clash Royale fanatics out there! Verve 1.0 is hosting a Clash Royale competition for all the gamers out there. Let's see what you got. Register yourself at any of our registration desks around the campus.
2018-02-14T03:42:27+0000,834100560293045_556915821344855,
2018-02-13T09:56:32+0000,834100560293045_556568374712933,
2018-02-13T09:37:23+0000,834100560293045_556564774713293,Dudeeeeeee.
2018-02-13T09:28:54+0000,834100560293045_556561844713586,"A big shout out to all the gamers out there ! All FIFA and CS GO enthusiasts , come and experience an amazing gaming experience at our fest Verve 1.0 on the 16-17th of February."
2018-02-12T07:24:25+0000,834100560293045_556117928091311,
2018-02-10T08:20:09+0000,834100560293045_555287964840974,"To all the enthusiasts, football and basketball lovers out there. We are very excited to see your competence and skill in our sports event in *VERVE 1.0*. What are you waiting for ? Come and register yourself at any of our registration desks."
2018-02-07T17:46:41+0000,834100560293045_554200814949689,"IT Association presents VERVE 1.0, with the belief that without leaps of imagination, we lose the excitement of possibilities. We bring to you an event which revolves around  Non-technical, Technical, Gaming, Sports and Literary events. It is an opportunity to explore an ocean full of fun and excitement.

Come and be a part of our fest Verve on the 16th and 17th of February, where “we take your fun seriously”."
2018-02-06T16:54:39+0000,834100560293045_553787194991051,"IT Association presents VERVE 1.0, with the belief that without leaps of imagination, we lose the excitement of possibilities. We bring to you an event which revolves around  Non-technical, Technical, Gaming, Sports and Literary events. It is an opportunity to explore an ocean full of fun and excitement.

Come and be a part of our fest Verve on the 16th and 17th of February, where “we take your fun seriously”."
2018-01-29T08:49:36+0000,834100560293045_550057032030734,
2018-01-15T16:20:52+0000,834100560293045_544004449302659,"Dank posts only being posted here, do follow.🔥
Instagram.com/tdtaless"
2017-12-29T05:34:43+0000,834100560293045_536609323375505,"Calcutta Apologue Bit-Wit presents ""Phases of Old Monk"". 

Tag an old monk lover. 

Content written by Dattatreya. Graphics created by Ankana and Sahil."
2017-12-25T13:38:08+0000,834100560293045_534947766874994,Creativity level max! #RahulGandhi #TVFQtiyapa
2017-12-24T18:42:42+0000,834100560293045_534621123574325,"2018 is almost at the doorstep and ITA wishes to welcome it with a new initiative. We, at ITA, have come up with the Sunday Chronicles to brighten up your usually boring Sundays with a burst of some fun and non technical facts. It's time to get smart, y'all."
2017-12-20T16:19:11+0000,834100560293045_532842840418820,"""The science of today is the technology of tomorrow "". ITA has searched high and low to find the most intriguing facts about technology from the very first computer to the the technology of the future. Here on, every Wednesday check out our FB page for some cool and fascinating technological facts."
2017-12-18T17:36:21+0000,834100560293045_532002587169512,"We all like to be in our niche, there is so much happening around us yet we are oblivious to change. So, with this in mind, we are here to provide you with some information about inventions and discoveries.

On December 17, 1903, Wilbur and Orville Wright made four brief flights at Kitty Hawk with their first powered aircraft. The Wright brothers had invented the first successful airplane.

We will be right back on next Monday with another invention , stay tuned."
2017-12-10T21:18:50+0000,834100560293045_528326057537165,
2017-11-25T02:42:49+0000,834100560293045_521325078237263,"It has only been a week since the exams have started and time isn’t moving fast. Lets take a break from this stress and exhaustion. Its a Friday night and whats a better way to do so than the Friday Night Challenge.

The rules haven't changed since last week. The first person to answer correctly in the comments below will be the winner for this week. Only one attempt at answering is allowed.PLEASE ANSWER ONLY ON THE IT ASSOCIATION, SRM PAGE IN THE COMMENTS SECTION BELOW THIS POST. P.S. Answers in the comments section of shared posts will not be valid.

#CHALLENGE_29

This programming language Trans compiles to another language. Its logo has a striking similarity to another language which was originally developed by Sun Microsystems and later owned by Oracle Corporation. It makes the latter language more readable and user friendly. Some other features added to this language are pattern matching and list comprehension. Name the language."
2017-11-20T06:45:42+0000,834100560293045_519342808435490,"When tagging friends in memes is life!
Download the DailySocial app - goo.gl/RVrqXz"
2017-11-17T17:39:15+0000,834100560293045_518267145209723,"""excuse me, do u have a moment to talk about our lord and saviour Eleven"" — everyone in my life right now"
2017-11-16T01:19:18+0000,834100560293045_517558365280601,*dabs*
2017-11-14T14:02:13+0000,834100560293045_516981065338331,
2017-11-13T17:22:09+0000,834100560293045_516622435374194,
2017-11-08T03:00:13+0000,834100560293045_514375228932248,JHALAK'17  AFTERMOVIE !
2017-11-08T02:50:07+0000,834100560293045_514372915599146,The SRM Hackathon was a memorable event for everyone. It was a well organised event and it reached its goal of achieving national level recognition.The participants were exposed to new ideas and learnt a lot from the mentors who took time out of their schedule to attend the event. They also got to know about the themes and various issues prevailing in our country. It was  an enriching experience for the participants as well as the organisers. Memories of SRM Hackathon 2017 will always be cherished.
2017-11-06T21:29:00+0000,834100560293045_513911325645305,Same to same!
2017-11-05T12:42:10+0000,834100560293045_513351519034619,"This Durga Puja, we created history by changing the tradition of division to a new tradition of sisterhood #NoCondtionsApply"
2017-11-04T11:00:12+0000,834100560293045_512917805744657,Well played.
2017-11-04T10:59:35+0000,834100560293045_512917682411336,This semester be like.
2017-10-29T05:22:55+0000,834100560293045_510549419314829,If only I had a dollar for every time I finished one season in a go!
2017-10-21T16:51:26+0000,834100560293045_507841642918940,Not good guys...
