,created_time,id,description,Response
0,2019-01-20T21:11:12+0000,834100560293045_761787764190992,"We post some 🔥 content on Instagram. Go follow us:
Instagram.com/officialuniversaltroll",
1,2019-01-14T21:14:19+0000,834100560293045_758305771205858,Uber & Tinder should join forces & deliver that booty straight to your door,
2,2019-01-07T10:08:57+0000,834100560293045_753808108322291,https://www.instagram.com/booksididnt 👀,
3,2018-12-30T20:46:49+0000,834100560293045_749287268774375,"From celebrating the OG Lord Shiva to bringing in 420, here’s a desi guide on where to trip in 2019.",
4,2018-12-08T08:11:25+0000,834100560293045_735584583477977,Break your mother's back!,
5,2018-07-25T09:55:41+0000,834100560293045_649246262111810,"#MEMEWALA

AAH KI MISHTI",
6,2018-07-22T23:21:17+0000,834100560293045_646754389027664,"Foreign liquor bottles worth Rs 40 lakhs crushed in Hyderabad

😁😪",
7,2018-07-22T23:00:32+0000,834100560293045_646742112362225,Someone got a Monkey high AF 💨,
8,2018-07-05T20:44:16+0000,834100560293045_630709690632134,Please ;_;,
9,2018-07-05T12:34:34+0000,834100560293045_630356457334124,"Dank posts only being posted here, do follow.🔥
Instagram.com/tdtaless",
10,2018-07-02T20:01:13+0000,834100560293045_627849027584867,"WHEN U CAN'T SLEEP 🙃

**epilepsy warning**",
11,2018-06-26T19:37:53+0000,834100560293045_622308994805537,"Loooooooong loooooooong maaaaaaaaan~

By UHA味覚糖　【公式】",
12,2018-06-10T16:57:52+0000,834100560293045_609046552798448,"I need money, not a relationship.",
13,2018-06-01T14:24:51+0000,834100560293045_604714723231631,Now that's cold,
14,2018-05-10T18:44:56+0000,834100560293045_595441287492308,"If you have the patience, you gonna love this.",
15,2018-04-18T22:02:50+0000,834100560293045_585832261786544,Modern times.,
16,2018-04-18T21:59:08+0000,834100560293045_585831568453280,Accurate.,
17,2018-04-17T18:14:57+0000,834100560293045_585304185172685,Gold.,
18,2018-04-08T07:39:32+0000,834100560293045_581137042256066,Peace,
19,2018-04-07T21:46:55+0000,834100560293045_580967835606320,OC,
20,2018-04-06T11:49:39+0000,834100560293045_580265789009858,dat ass,
21,2018-04-03T08:27:28+0000,834100560293045_578809275822176,not u,
22,2018-04-01T23:53:21+0000,834100560293045_578254992544271,Boi o boi,
23,2018-04-01T13:20:58+0000,834100560293045_578067092563061,🍑,
24,2018-03-25T18:51:22+0000,834100560293045_575068212862949,-sky空,
25,2018-03-21T07:10:16+0000,834100560293045_572926853077085,What problems do Bengali men face?,
26,2018-03-16T10:20:18+0000,834100560293045_570763556626748,"THIS GAVE ME SHIVERS 😰

WorldProblems",
27,2018-03-15T06:08:27+0000,834100560293045_570237130012724,"Katega, beta Katega!",
28,2018-03-13T12:43:39+0000,834100560293045_569502783419492,"Every time a mass shooting happens, the world gets into a really weird mood. I hope this helps 💙

Please share to spread the message.",
29,2018-03-12T16:17:49+0000,834100560293045_569111676791936,"If you're having a bad day, look at this happy puppet

📹reothegolden | IG",
30,2018-03-12T16:14:24+0000,834100560293045_569110846792019,Ceremony by TAS,
31,2018-03-09T15:26:36+0000,834100560293045_567740300262407,Necessary education.,
32,2018-03-05T12:11:44+0000,834100560293045_565819500454487,"This picture is too relatable and that concerns me. 
https://9gag.com/gag/aOrBxBR/sc/funny?ref=fbsc",
33,2018-03-01T11:22:29+0000,834100560293045_563989917304112,liek if u crie,
34,2018-02-18T16:07:26+0000,834100560293045_559073504462420,Tom was the man,
35,2018-02-15T16:04:05+0000,834100560293045_557618921274545,Attention to all the Clash Royale fanatics out there! Verve 1.0 is hosting a Clash Royale competition for all the gamers out there. Let's see what you got. Register yourself at any of our registration desks around the campus.,
36,2018-02-13T09:37:23+0000,834100560293045_556564774713293,Dudeeeeeee.,
37,2018-02-13T09:28:54+0000,834100560293045_556561844713586,"A big shout out to all the gamers out there ! All FIFA and CS GO enthusiasts , come and experience an amazing gaming experience at our fest Verve 1.0 on the 16-17th of February.",
38,2018-02-10T08:20:09+0000,834100560293045_555287964840974,"To all the enthusiasts, football and basketball lovers out there. We are very excited to see your competence and skill in our sports event in *VERVE 1.0*. What are you waiting for ? Come and register yourself at any of our registration desks.",
39,2018-02-07T17:46:41+0000,834100560293045_554200814949689,"IT Association presents VERVE 1.0, with the belief that without leaps of imagination, we lose the excitement of possibilities. We bring to you an event which revolves around  Non-technical, Technical, Gaming, Sports and Literary events. It is an opportunity to explore an ocean full of fun and excitement.

Come and be a part of our fest Verve on the 16th and 17th of February, where “we take your fun seriously”.",
40,2018-02-06T16:54:39+0000,834100560293045_553787194991051,"IT Association presents VERVE 1.0, with the belief that without leaps of imagination, we lose the excitement of possibilities. We bring to you an event which revolves around  Non-technical, Technical, Gaming, Sports and Literary events. It is an opportunity to explore an ocean full of fun and excitement.

Come and be a part of our fest Verve on the 16th and 17th of February, where “we take your fun seriously”.",
41,2018-01-15T16:20:52+0000,834100560293045_544004449302659,"Dank posts only being posted here, do follow.🔥
Instagram.com/tdtaless",
42,2017-12-29T05:34:43+0000,834100560293045_536609323375505,"Calcutta Apologue Bit-Wit presents ""Phases of Old Monk"". 

Tag an old monk lover. 

Content written by Dattatreya. Graphics created by Ankana and Sahil.",
43,2017-12-25T13:38:08+0000,834100560293045_534947766874994,Creativity level max! #RahulGandhi #TVFQtiyapa,
44,2017-12-24T18:42:42+0000,834100560293045_534621123574325,"2018 is almost at the doorstep and ITA wishes to welcome it with a new initiative. We, at ITA, have come up with the Sunday Chronicles to brighten up your usually boring Sundays with a burst of some fun and non technical facts. It's time to get smart, y'all.",
45,2017-12-20T16:19:11+0000,834100560293045_532842840418820,"""The science of today is the technology of tomorrow "". ITA has searched high and low to find the most intriguing facts about technology from the very first computer to the the technology of the future. Here on, every Wednesday check out our FB page for some cool and fascinating technological facts.",
46,2017-12-18T17:36:21+0000,834100560293045_532002587169512,"We all like to be in our niche, there is so much happening around us yet we are oblivious to change. So, with this in mind, we are here to provide you with some information about inventions and discoveries.

On December 17, 1903, Wilbur and Orville Wright made four brief flights at Kitty Hawk with their first powered aircraft. The Wright brothers had invented the first successful airplane.

We will be right back on next Monday with another invention , stay tuned.",
47,2017-11-25T02:42:49+0000,834100560293045_521325078237263,"It has only been a week since the exams have started and time isn’t moving fast. Lets take a break from this stress and exhaustion. Its a Friday night and whats a better way to do so than the Friday Night Challenge.

The rules haven't changed since last week. The first person to answer correctly in the comments below will be the winner for this week. Only one attempt at answering is allowed.PLEASE ANSWER ONLY ON THE IT ASSOCIATION, SRM PAGE IN THE COMMENTS SECTION BELOW THIS POST. P.S. Answers in the comments section of shared posts will not be valid.

#CHALLENGE_29

This programming language Trans compiles to another language. Its logo has a striking similarity to another language which was originally developed by Sun Microsystems and later owned by Oracle Corporation. It makes the latter language more readable and user friendly. Some other features added to this language are pattern matching and list comprehension. Name the language.",
48,2017-11-20T06:45:42+0000,834100560293045_519342808435490,"When tagging friends in memes is life!
Download the DailySocial app - goo.gl/RVrqXz",
49,2017-11-17T17:39:15+0000,834100560293045_518267145209723,"""excuse me, do u have a moment to talk about our lord and saviour Eleven"" — everyone in my life right now",
50,2017-11-16T01:19:18+0000,834100560293045_517558365280601,*dabs*,
51,2017-11-08T03:00:13+0000,834100560293045_514375228932248,JHALAK'17  AFTERMOVIE !,
52,2017-11-08T02:50:07+0000,834100560293045_514372915599146,The SRM Hackathon was a memorable event for everyone. It was a well organised event and it reached its goal of achieving national level recognition.The participants were exposed to new ideas and learnt a lot from the mentors who took time out of their schedule to attend the event. They also got to know about the themes and various issues prevailing in our country. It was  an enriching experience for the participants as well as the organisers. Memories of SRM Hackathon 2017 will always be cherished.,
53,2017-11-06T21:29:00+0000,834100560293045_513911325645305,Same to same!,
54,2017-11-05T12:42:10+0000,834100560293045_513351519034619,"This Durga Puja, we created history by changing the tradition of division to a new tradition of sisterhood #NoCondtionsApply",
55,2017-11-04T11:00:12+0000,834100560293045_512917805744657,Well played.,
56,2017-11-04T10:59:35+0000,834100560293045_512917682411336,This semester be like.,
57,2017-10-29T05:22:55+0000,834100560293045_510549419314829,If only I had a dollar for every time I finished one season in a go!,
58,2017-10-21T16:51:26+0000,834100560293045_507841642918940,Not good guys...,
59,2017-10-18T07:53:40+0000,834100560293045_506581323044972,"Diwali, the momentous occasion which brings with it the light to enlighten the truth, sweetness to sweeten the soul and togetherness to tie the bonds. In India, its celebration includes millions of lights illuminating every corner  which spiritually signifies the victory of light over darkness. On this occasion ""IT Association"" wishes you a very Happy Diwali. Hope this Diwali gives you prosperity, success and fortune enclosed in an envelope of warmth and togetherness.",
60,2017-10-17T22:01:53+0000,834100560293045_506458329723938,Dont u dare  :P,
61,2017-10-17T21:55:23+0000,834100560293045_506454726390965,Tag a bengali friend and tell us their daak naam to ruin their day! :) <3,
62,2017-10-14T18:41:43+0000,834100560293045_505345326501905,"The second day of the sequel of the SRM Hackathon was conducted on the 7th of October, 2017. The caffeine fueled  participants submitted their code and had to present their project to the respected judges. The Hackathon opened our minds to new and creative ideas that can take our country to great heights.",
63,2017-10-12T02:04:01+0000,834100560293045_504350213268083,"This is lit.

Credits: Football Memes India",
64,2017-10-03T18:15:20+0000,834100560293045_501333150236456,"The wait is finally going to be over as we move closer and closer to the much awaited second edition of SRM Hackathon. With an exciting set of themes ranging from Environment to Judiciary, looking forward to your revolutionary ideas that will make a huge and significant impact. So here is a glimpse of what is in store on the 6th and 7th of October.
#SRMHACK2017",
65,2017-09-30T20:43:20+0000,834100560293045_500258447010593,Yeh gunaah hai.,
66,2017-09-21T00:44:48+0000,834100560293045_496714664031638,Isn't it breathtakingly beautiful?,
67,2017-09-15T06:12:52+0000,834100560293045_494618107574627,"“Time will never be just right!” Calling all future masterminds to come and be a part of SRM Hackathon! A 36 hour development fest, that will put your creativity and coding skills to test. Showcase your ideas through our National Level Hackathon and if you think you have the potential to bring a change to the world we live in, then register now!

Register at srmhack.hackerearth.com and submit ideas before 30th September 2017. 

#SRMHack2017",
68,2017-09-11T07:27:26+0000,834100560293045_493230417713396,"""We are definitely going to Hell, But we'll have all the Best Stories to Tell""

Whatever we do, whoever we impact, whatever impressions we leave behind, and whatever people remember of us when we aren't present, are all Stories. Stories that give us glory, make us feel proud, drive the adrenaline in our veins and push us to do things, we never thought we could.

In the end, we realise, we are just Stories waiting to be told. 

Hello, I am Rishav Guha Niyogi , the President of The Climber , Chennai Chapter and these are the words I live by. While working for the Climber, I have realised that I have stories which I would love to share with whoever is ready to listen.

We all have a tendency to lose touch with what we loved as a child. Something about the social pressures of adolescence and professional pressures of young adulthood squeezes the passion out of us. We’re taught that the only reason to do something is if we’re somehow rewarded for it but not for the sheer joy of it. 

The Climber, on the other hand preached the exact opposite. It promised to be a platform where we could literally explore, fine tune and involve ourselves completely with our passion. 

It gave me Indian Youth Conclave 2017 - Chennai , an event very close to my heart. An event whose inception helped me reach where I am today. The ambience at an IYC is electric as You can see youngsters like you who were actually pursuing what they loved and how they excelled and how dedicated they were. Every speaker’s story is different but when you really look at its essence on a miniscule level they will all teach you one thing and that is what I took back from the event, it was “If you do what you actually love and if you’re ready to step out of your comfort zone for it, MAGIC can really happen!""

- Rishav Guha Niyogi
  President, The Climber - Chennai
  Also probably a would be engineer

Get ready for Chennai's Largest youth fest --> http://bit.ly/iyc17

#IYCisBack #WhereEverythingBegins #TakeTheLeap
#Chennai #OutreachPartner #SRMbyAG",
69,2017-09-11T07:19:11+0000,834100560293045_493228307713607,"""Seize the moment because some opportunities don't come twice "". Come and experience the magnificence of our 36 hour national level hackathon which will be conducted on 6-7 October. Only ""20 days"" left for idea submission .Let your creative juices flow and embark upon your journey towards success.

Register at srmhackathon.com or srmhack.hackerearth.com

#SRMHack2017",
70,2017-09-08T21:44:01+0000,834100560293045_492361047800333,"A YouTube Sensation !
A musical Popstar !
A youth inspiration ! 

Aaruush, a student driven Fest brings to you , A lifetime experience 
Shirley Setia , Live in Concert 

Our sincerest thank to Jrny Entertainmentsertainments for making this happen.

#PyajamaRockstar 
#Aaruush17
#X1edition
#ShirleySetia",
71,2017-09-08T21:36:03+0000,834100560293045_492359324467172,"The phenomenal and exemplar edition of SRM Hackathon is back, which notches higher and triumphant than any other edition. Perhaps the most useful lesson which has come out of the work on penicillin has been the demonstration that success in this field depends on the development and coordinated use of technical methods. SRM Hackathon conceptualizes an immaculate future by coming up with innovative ideas to the prevailing problems in various arena. Buckling up to the brand-new edition, an impetus for creating change can be visualized through the vibrant logos.

Don’t count the days, make the days count!

Register at srmhackathon.com or srmhack.hackerearth.com

#SRMHack2017",
72,2017-09-07T18:12:19+0000,834100560293045_491897627846675,Admit it ... L'Hôpital's (L Hospital's) is first thing you do when you see limits,
73,2017-09-06T09:49:32+0000,834100560293045_491406957895742,"Building the future BIT by BIT!
#SRMHack2017",
74,2017-09-04T07:31:04+0000,834100560293045_490647327971705,"Onam is celebrated to commemorate a glorious past , a time when prosperity , joy and love blended . From the delicious food served on the banana leaves to the beautiful white and golden sarees , this is a festival where gaiety and culture harmonise. IT association hopes that this Onam fills your life with happiness and prosperity .",
75,2017-09-03T17:37:29+0000,834100560293045_490490887987349,"Tickling your neurons, we challenge you to put your coding and development skills to test. Where and how? Well, of course through the prestigious second edition of SRM Hackathon. Come face to face and solve real world issues ranging from rural development to judiciary to environment. There isn't a problem without a solution. Unleash your brain's creativity and potential, use your coding skills to bring out the developer in you and come up with a viable solution to find out if you've got what it takes to not just survive but thrive in the 21st century and in turn make it a better place to live in!

There are Hackathons popping up all around our locality and beyond our everyday borders trying to solve real world problems. But why us? 3 words - Hackathon Beast Edition. Don't believe us, then come and see for yourselves. We are back with different tracks, bigger cash prize and much higher standards and we vouch to push that bar even higher into the sky.

Immerse yourself into technology development for a continuous stretch of 36 hours on the 6th and 7th of October 2017. Bring a team of 2 to 5; the coder, the newbie, the guy you convinced with pizza bribes, the dreamer, and the nerd. Come and lose all those labels as you become creators. SRM Hackathon is about the persistence and determination to be anything but average, and we'll give you the playground to do it. Pitch your revolutionary solutions to our highly esteemed judges and we'll make sure that your playtime ends in rewards and glory worth 3 Lakhs!
http://srmhackathon.com/",
76,2017-09-02T09:19:26+0000,834100560293045_489944798041958,Eid Al adha popularly known as the sacrifice feast teaches us that God cares about us and wants to help the greater good . It benefits the poor and needy as well as our family and friends . The IT Association wishes everyone a Happy Eid !,
77,2017-08-31T16:21:48+0000,834100560293045_489316144771490,"An impeccable platform for all those aiming at a flawless future. This is the place for all the innovators coming up with ingenious technical  solutions to the prevailing problems of our world. IT Association presents, SRM Hackathon, a two day nation wide event brimming with excitement. It will be held on our premises from October 6th.

Register at srmhackathon.com or srmhack.hackerearth.com

#VISUALISEYOURDREAM
#SRMHack2017",
78,2017-08-31T16:20:49+0000,834100560293045_489315898104848,"Once a team always a team. The ITA is the best team anyone can find .We work together, fight together and come out successful in the end.",
79,2017-08-29T14:13:11+0000,834100560293045_488471178189320,Wut?,
80,2017-08-26T11:43:53+0000,834100560293045_487258318310606,"Explaining a joke is like dissecting a frog. It can be dark. We promise not to cross the line. Or would you mind if we do? 2015 saw Kanan Gill. 2016, Kenny Sebastian. Presenting to you the comedian of Aaruush'17

#RaiseTheBar #NeverSettle #Aaruush17
#X1edition #TheMomentIsNear",
81,2017-08-25T18:04:42+0000,834100560293045_487009081668863,"The IT department is happy to announce that we will be conducting Fresher's for our first year students. 
The details for the event are as follows:-
Date: August 26th 2017
Time: 11am-3pm
Venue: Biotech Seminar Hall

Come join us as we open your eyes to SRM beyond textbooks.",
82,2017-08-22T18:15:54+0000,834100560293045_485954091774362,tag your most bootiful friend,
83,2017-08-17T18:33:16+0000,834100560293045_484150165288088,"Former US Navy Admiral, William H. McRaven, conquers his day with this one small task in the morning

Get inspired. Order his book, Make Your Bed: http://amzn.to/2ia1V7r",
84,2017-08-17T06:34:53+0000,834100560293045_483965465306558,"The partition of India and Pakistan, explained.",
85,2017-08-16T11:55:45+0000,834100560293045_483675858668852,"One might say that we are back at it, but we never really left. Having bagged 8 awards, the SRM Delegation lifted the Best Delegation trophy at the first conference of this wondrous season, SRM Vadapalani MUN 2017.",
86,2017-08-10T05:51:51+0000,834100560293045_481301612239610,sarahahahaplsno,
87,2017-08-02T13:58:30+0000,834100560293045_478226359213802,"We are happy to announce UBER, as our travel partner for the academic year 2017-2018. We are aiming to achieve the pinnacle of success with this support. It is our pleasure to ride with UBER. We have lots of events instore and it is an honour for us to have UBER as our travel partner. We are ready to start our journey towards excellence.
Uber",
88,2017-08-02T03:47:51+0000,834100560293045_478061322563639,"IT Association is happy to introduce you all to our media partner NEW INDIAN EXPRESS.
Indian Express has been synonymous with excellence in journalism and it's commitment to fairness.
IT Association is happy to be associated with it.
The New Indian Express",
89,2017-07-31T17:22:27+0000,834100560293045_477545589281879,"Initiating Fusion is a non-profit social work initiative taken up by the students of the IT Department in collaboration with NSS. 
 We at Initiating Fusion believe in creating ripples of change .
If you want to join hands with us fill the form , and get a chance to be a part of Initiating Fusion.
All departments are welcomed.

https://goo.gl/forms/Zk0UWWiLaCrGAZ8P2",
90,2017-07-30T14:55:59+0000,834100560293045_477065385996566,"INITIATING FUSION
Initiating Fusion is a student initiated Group which aims at certain developments in the society and its welfare.  The main purpose of this initiative is to invoke a sense of social responsibility in the students.
Various events are conducted by Initiating Fusion like regular teaching classes, The Clean India Rally , food distribution. Blood donation camps and cloth donation drives are organized periodically to do our bit for the society.  Events like these promote empathy in students and give a way to them to live up to their social responsibility.
If you want to be the part of change , you  can connect with us and be a part of Initiating Fusion.",
