Confi_Rank,created_time,id,Time_Weight,message,Senti_Value,Confidence,Confi_Weight,Overall
1.0,2019-02-02T15:32:13+0000,834100560293045_769106250125810,0.048828125,Best thing on FB.,1,0.6369,50.0,2.44140625
1.0,2017-08-19T17:28:38+0000,834100560293045_484821018554336,0.048828125,"Looking to connect with illustrators and graphic designers. 

Please DM their profiles if you happen to know someone. Thanks in advance.",1,0.6369,50.0,2.44140625
2.0,2018-01-15T16:20:52+0000,834100560293045_544004449302659,6.25,Tor baba beautiful Soumya,1,0.5994,25.0,156.25
3.0,2017-11-20T06:45:42+0000,834100560293045_519342808435490,25.0,Dil ki baat. xD,1,0.5859,12.5,312.5
4.0,2018-02-18T16:07:26+0000,834100560293045_559073504462420,3.125,the better man,1,0.4404,6.25,19.53125
5.0,2017-09-11T17:28:55+0000,834100560293045_493387914364313,0.78125,To creating the next big thing. 🍻,1,0.296,3.125,2.44140625
6.0,2017-09-06T09:49:32+0000,834100560293045_491406957895742,0.1953125,😎,0,0.0,1.5625,0.0
6.0,2017-09-07T18:12:19+0000,834100560293045_491897627846675,0.390625,😂😂😂,0,0.0,1.5625,0.0
6.0,2017-09-21T00:44:48+0000,834100560293045_496714664031638,1.5625,❤️,0,0.0,1.5625,0.0
6.0,2017-09-30T20:43:20+0000,834100560293045_500258447010593,3.125,Vimarsh Trehan Nikhil Dhoot Tumhare liye.,0,0.0,1.5625,0.0
6.0,2017-10-04T15:45:09+0000,834100560293045_501653730204398,6.25,😂😂😂,0,0.0,1.5625,0.0
6.0,2018-06-26T19:37:53+0000,834100560293045_622308994805537,0.1953125,Advertisement done right. 💦,0,0.0,1.5625,0.0
6.0,2017-08-26T17:15:17+0000,834100560293045_487365958299842,0.09765625,Team! 🔥,0,0.0,1.5625,0.0
6.0,2017-12-29T05:34:43+0000,834100560293045_536609323375505,12.5,Panshula Ghosh,0,0.0,1.5625,0.0
6.0,2018-03-21T07:10:16+0000,834100560293045_572926853077085,1.5625,"Ayush Mishra
Aditya Munshi",0,0.0,1.5625,0.0
6.0,2018-05-10T18:44:56+0000,834100560293045_595441287492308,0.390625,Gold,0,0.0,1.5625,0.0
6.0,2017-10-12T02:04:01+0000,834100560293045_504350213268083,12.5,😂😂😂,0,0.0,1.5625,0.0
6.0,2017-10-21T16:51:26+0000,834100560293045_507841642918940,25.0,😂,0,0.0,1.5625,0.0
7.0,2018-04-03T08:27:28+0000,834100560293045_578809275822176,0.78125,sorry,-1,-0.0772,0.78125,-0.6103515625
8.0,2018-07-22T23:21:17+0000,834100560293045_646754389027664,0.09765625,Sad reacts only,-1,-0.4767,0.390625,-0.03814697265625
