Id,Probability
1,0.012833333333333334
2,0.031
3,0.017
4,0.07
5,0.11
6,0.005
7,0.01025
8,0.02
9,0.0
10,0.451
11,0.017
12,0.007
13,0.001
14,0.023
15,0.032
16,0.005
17,0.015
18,0.0
19,0.263
20,0.14138333333333336
21,0.00325
22,0.0
23,0.0
24,0.309
25,0.063
26,0.009
27,0.053
28,0.001
29,0.2085
30,0.025
31,0.07316666666666667
32,0.0
33,0.009
34,0.034
35,0.2003333333333333
36,0.231
37,0.013
38,0.012
39,0.042
40,0.035
41,0.133
42,0.167
43,0.125
44,0.002
45,0.024
46,0.0
47,0.0
48,0.026
49,0.003
50,0.06
51,0.0
52,0.003
53,0.0063
54,0.05
55,0.009
56,0.039
57,0.005
58,0.007
59,0.027
60,0.055
61,0.008
62,0.0
63,0.022
64,0.003
65,0.02
66,0.029
67,0.0
68,0.023
69,0.0
70,0.443
71,0.002
72,0.023
73,0.0
74,0.013
75,0.008
76,0.008
77,0.027
78,0.065
79,0.116
80,0.005
81,0.06
82,0.003
83,0.008
84,0.0
85,0.002
86,0.005
87,0.006
88,0.115
89,0.0
90,0.08
91,0.068
92,0.035
93,0.006
94,0.002
95,0.007
96,0.157
97,0.063
98,0.01
99,0.001
100,0.0
101,0.033666666666666664
102,0.192
103,0.0
104,0.121
105,0.326
106,0.0
107,0.076
108,0.001
109,0.0
110,0.0
111,0.005
112,0.023
113,0.316
114,0.2877166666666667
115,0.0
116,0.01
117,0.0
118,0.002
119,0.046
120,0.004
121,0.004
122,0.207
123,0.006
124,0.521
125,0.115
126,0.001
127,0.001
128,0.001
129,0.002
130,0.22
131,0.002
132,0.091
133,0.0
134,0.065
135,0.255
136,0.021
137,0.292
138,0.047
139,0.003
140,0.083
141,0.0
142,0.016
143,0.0
144,0.006
145,0.125
146,0.002
147,0.001
148,0.069
149,0.0
150,0.14
151,0.0
152,0.005
153,0.001
154,0.01
155,0.035
156,0.012
157,0.131
158,0.0
159,0.216
160,0.013
161,0.0
162,0.012
163,0.002
164,0.045
165,0.004900000000000001
166,0.005
167,0.32
168,0.01
169,0.111
170,0.017
171,0.0
172,0.101
173,0.01
174,0.002
175,0.019
176,0.022
177,0.013
178,0.06466666666666666
179,0.004
180,0.051
181,0.091
182,0.01125
183,0.027
184,0.002
185,0.3131666666666667
186,0.0
187,0.0
188,0.005
189,0.027
190,0.105
191,0.012
192,0.011583333333333334
193,0.063
194,0.0033333333333333335
195,0.01
196,0.002
197,0.0
198,0.014
199,0.0
200,0.0
201,0.049
202,0.0105
203,0.073
204,0.119
205,0.646
206,0.0
207,0.054
208,0.0155
209,0.17111666666666667
210,0.0
211,0.023
212,0.066
213,0.003
214,0.014
215,0.001
216,0.0355
217,0.005
218,0.06566666666666665
219,0.022
220,0.004
221,0.004
222,0.005
223,0.0
224,0.002
225,0.005
226,0.079
227,0.012
228,0.003
229,0.028666666666666663
230,0.1953333333333333
231,0.082
232,0.0
233,0.0
234,0.004
235,0.0
236,0.128
237,0.0013333333333333333
238,0.0
239,0.0
240,0.032
241,0.039
242,0.0
243,0.013
244,0.013
245,0.002
246,0.0
247,0.035
248,0.002
249,0.0
250,0.12883333333333333
251,0.0
252,0.339
253,0.007
254,0.012
255,0.0
256,0.007
257,0.014
258,0.102
259,0.033
260,0.213
261,0.056
262,0.026
263,0.0
264,0.004
265,0.034
266,0.043
267,0.032
268,0.011
269,0.114
270,0.003
271,0.013
272,0.101
273,0.0
274,0.001
275,0.006
276,0.003
277,0.0
278,0.006
279,0.065
280,0.001
281,0.09613333333333332
282,0.022
283,0.032
284,0.0
285,0.002
286,0.002
287,0.075
288,0.025
289,0.01966666666666667
290,0.01
291,0.255
292,0.003
293,0.087
294,0.067
295,0.0
296,0.003
297,0.0
298,0.213
299,0.0
300,0.0
301,0.019
302,0.003
303,0.003
304,0.0
305,0.188
306,0.029
307,0.0
308,0.451
309,0.1431
310,0.003
311,0.383
312,0.013
313,0.11
314,0.023
315,0.009
316,0.09484999999999999
317,0.24583333333333335
318,0.011
319,0.001
320,0.12533333333333335
321,0.0
322,0.012
323,0.004
324,0.008
325,0.13616666666666669
326,0.003
327,0.103
328,0.054
329,0.003
330,0.0
331,0.03
332,0.009
333,0.187
334,0.0
335,0.046
336,0.007
337,0.003
338,0.478
339,0.133
340,0.002
341,0.0
342,0.0
343,0.048
344,0.0
345,0.0
346,0.002
347,0.226
348,0.072
349,0.0
350,0.002
351,0.008
352,0.006
353,0.011
354,0.3767666666666667
355,0.04
356,0.001
357,0.269
358,0.0
359,0.004
360,0.014
361,0.009
362,0.001
363,0.01566666666666667
364,0.011
365,0.008
366,0.003
367,0.1405
368,0.116
369,0.03
370,0.039
371,0.0
372,0.048
373,0.001
374,0.029
375,0.005
376,0.001
377,0.006
378,0.005
379,0.002
380,0.028
381,0.006
382,0.002
383,0.0416
384,0.026
385,0.002
386,0.014
387,0.0
388,0.007
389,0.069
390,0.0
391,0.004
392,0.001
393,0.154
394,0.035833333333333335
395,0.022
396,0.008
397,0.087
398,0.10666666666666667
399,0.001
400,0.012
401,0.002
402,0.0
403,0.034
404,0.0
405,0.305
406,0.364
407,0.0
408,0.129
409,0.005
410,0.027
411,0.042
412,0.048
413,0.016366666666666668
414,0.011
415,0.008
416,0.118
417,0.10653333333333333
418,0.01
419,0.001
420,0.002
421,0.001
422,0.0
423,0.029
424,0.0
425,0.0
426,0.002
427,0.061
428,0.009
429,0.0
430,0.0
431,0.1385
432,0.0
433,0.0655
434,0.053
435,0.0
436,0.014
437,0.0
438,0.042333333333333334
439,0.0
440,0.017
441,0.194
442,0.018
443,0.012
444,0.001
445,0.069
446,0.472
447,0.001
448,0.03483333333333333
449,0.06333333333333334
450,0.002
451,0.004
452,0.0
453,0.022
454,0.002
455,0.017
456,0.027
457,0.017
458,0.016
459,0.08248333333333334
460,0.013
461,0.069
462,0.138
463,0.003
464,0.006666666666666667
465,0.292
466,0.004
467,0.008
468,0.034
469,0.0
470,0.27815238095238093
471,0.003
472,0.005
473,0.14730000000000001
474,0.029
475,0.007
476,0.0
477,0.0
478,0.005
479,0.107
480,0.001
481,0.128
482,0.001
483,0.12153333333333333
484,0.047
485,0.0
486,0.14
487,0.0
488,0.009
489,0.106
490,0.045
491,0.0
492,0.031
493,0.278
494,0.001
495,0.209
496,0.0
497,0.646
498,0.009
499,0.053
500,0.007
501,0.038
502,0.024
503,0.002
504,0.056666666666666664
505,0.005
506,0.163
507,0.16
508,0.0
509,0.0
510,0.004
511,0.014
512,0.32
513,0.0166
514,0.015
515,0.019
516,0.126
517,0.006
518,0.058
519,0.002
520,0.002
521,0.0
522,0.003
523,0.196
524,0.025
525,0.044
526,0.402
527,0.0825
528,0.012
529,0.08
530,0.02
531,0.001
532,0.0
533,0.03786666666666666
534,0.0
535,0.012916666666666668
536,0.0
537,0.005
538,0.066
539,0.102
540,0.001
541,0.039
542,0.0
543,0.11
544,0.03483333333333333
545,0.004
546,0.001
547,0.019
548,0.006
549,0.0
550,0.1195
551,0.024
552,0.238
553,0.009
554,0.012
555,0.303
556,0.0095
557,0.005
558,0.01
559,0.2913333333333334
560,0.04
561,0.004
562,0.01
563,0.023
564,0.041
565,0.003
566,0.0
567,0.001
568,0.191
569,0.065
570,0.07
571,0.167
572,0.222
573,0.018
574,0.036
575,0.011
576,0.0
577,0.0
578,0.002
579,0.007
580,0.01
581,0.025
582,0.001
583,0.001
584,0.034
585,0.2
586,0.003
587,0.116
588,0.17166666666666666
589,0.005
590,0.003
591,0.002
592,0.006
593,0.037
594,0.003
595,0.033
596,0.19
597,0.002
598,0.003
599,0.064
600,0.008
601,0.002
602,0.067
603,0.012
604,0.001
605,0.0
606,0.054
607,0.312
608,0.002
609,0.322
610,0.001
611,0.002
612,0.0
613,0.0
614,0.049
615,0.04
616,0.001
617,0.026
618,0.002
619,0.005
620,0.039
621,0.0
622,0.059
623,0.009
624,0.012
625,0.011
626,0.345
627,0.0065
628,0.036849999999999994
629,0.013
630,0.04
631,0.01
632,0.009
633,0.0
634,0.055
635,0.13
636,0.0
637,0.0
638,0.005
639,0.127
640,0.0
641,0.0
